Account,GameNumber,Date,StartTime,DayOfWeek,HourOfDay,GameOfDay,GameOfWeek,TimeControl,MyElo,OppElo,Color,ECO,Result,Termination,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResult,2ndLastResult,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,MyCastlingMove,OppCastlingMove,TimeSinceLast
Cosmos_IV,22,2020-05-19,19:08:22,3,20,8,22,600,1025,1068,black,B00,lost,resignation,Yes,No,Yes,No,Yes,lost,draw,19,20,237,299,12.47,14.95,18,19,17.80
Cosmos_IV,23,2020-05-19,19:17:46,3,20,9,23,600,1039,976,white,D02,won,resignation,Yes,Yes,No,Yes,No,lost,lost,35,35,531,569.6,15.17,16.27,8,13,327.00
Cosmos_IV,24,2020-05-19,19:36:19,3,20,10,24,600,1025,1072,white,D30,lost,resignation,No,No,No,Yes,No,won,lost,49,49,588,540.9,12.0,11.04,N/A,8,582.00
Cosmos_IV,25,2020-05-19,19:55:49,3,20,11,25,600,1009,999,white,B06,lost,resignation,No,Yes,No,Yes,No,lost,won,50,50,336.7,199.7,6.73,3.99,15,11,582.00
Cosmos_IV,26,2020-05-19,20:05:19,3,21,12,26,600,997,1047,black,C55,lost,resignation,No,No,Yes,Yes,No,lost,lost,26,27,206.6,208.6,7.95,7.73,9,9,233.30
Cosmos_IV,27,2020-05-20,00:38:04,4,1,13,27,600,985,1041,black,C20,lost,resignation,Yes,Yes,No,No,No,lost,lost,30,31,364,401.9,12.13,12.96,11,N/A,16158.40
Cosmos_IV,28,2020-05-20,23:09:02,4,24,2,28,600,973,1003,white,B21,lost,resignation,No,No,No,No,No,lost,lost,15,14,60,78.5,4.0,5.61,N/A,N/A,80694.00
Cosmos_IV,29,2020-05-20,23:11:55,4,24,3,29,600,974,1001,black,C65,draw,repetition,No,No,Yes,Yes,No,lost,lost,59,60,534,446.2,9.05,7.44,15,11,113.00
Cosmos_IV,30,2020-05-21,15:08:13,5,16,3,30,600,962,995,black,C20,lost,resignation,No,No,No,No,No,draw,lost,13,14,74.1,62.1,5.7,4.44,N/A,N/A,56844.00
Cosmos_IV,31,2020-05-21,15:10:50,5,16,4,31,600,975,997,white,D02,won,resignation,Yes,Yes,No,No,No,lost,draw,24,23,145,183.1,6.04,7.96,7,N/A,82.90
Cosmos_IV,32,2020-05-21,15:16:41,5,16,5,32,600,964,987,white,B12,lost,resignation,No,Yes,No,Yes,No,won,lost,46,45,598.8,544.3,13.02,12.1,15,13,206.00
Cosmos_IV,33,2020-05-21,15:36:32,5,16,6,33,600,955,1015,black,C20,lost,resignation,No,No,No,No,No,lost,won,63,63,513.5,475.4,8.15,7.55,N/A,N/A,592.20
Cosmos_IV,34,2020-05-21,15:53:57,5,16,7,34,600,944,950,white,C64,lost,resignation,No,Yes,No,Yes,No,lost,lost,24,24,168.1,153.1,7.0,6.38,18,9,531.50
Cosmos_IV,35,2020-05-21,15:59:45,5,16,8,35,600,934,950,black,C50,lost,checkmate,Yes,No,Yes,No,No,lost,lost,17,18,131,124.8,7.71,6.93,10,N/A,179.90
Cosmos_IV,36,2020-05-21,16:04:19,5,17,9,36,600,924,934,white,C40,lost,resignation,No,No,No,No,No,lost,lost,10,10,48.1,26.9,4.81,2.69,N/A,N/A,143.00
Cosmos_IV,37,2020-05-22,16:51:35,6,17,1,37,600,933,905,black,B00,won,resignation,No,No,No,No,No,lost,lost,14,14,144.4,79.8,10.31,5.7,N/A,N/A,89187.90
Cosmos_IV,38,2020-05-22,16:56:57,6,17,2,38,600,923,916,black,C41,lost,resignation,No,Yes,No,Yes,No,won,lost,24,25,391.7,410.5,16.32,16.42,10,7,177.60
Cosmos_IV,39,2020-05-22,17:10:40,6,18,3,39,600,932,923,white,A40,won,resignation,No,No,No,No,No,lost,won,1,1,0.1,0.1,0.1,0.1,N/A,N/A,431.30
Cosmos_IV,40,2020-05-22,17:11:04,6,18,4,40,600,940,883,black,C46,won,resignation,No,Yes,No,Yes,No,won,lost,27,27,251.7,218.8,9.32,8.1,13,11,23.90
Cosmos_IV,41,2020-05-27,15:19:15,4,16,1,14,600,931,940,black,B07,lost,resignation,No,Yes,No,Yes,No,won,won,27,27,389.2,290.5,14.41,10.76,11,10,425039.30
Cosmos_IV,42,2020-05-27,15:31:26,4,16,2,15,600,939,882,white,B15,won,timeout,Yes,Yes,No,No,No,lost,won,35,34,448.2,594.9,12.81,17.5,15,N/A,341.80
Cosmos_IV,43,2020-06-04,19:55:08,5,20,1,1,600,949,946,white,D02,won,checkmate,Yes,Yes,No,Yes,No,won,lost,25,24,228.6,277.3,9.14,11.55,10,10,706573.80
Cosmos_IV,44,2020-06-04,20:04:10,5,21,2,2,600,959,960,black,C45,won,abandoned,Yes,No,Yes,No,No,won,won,16,16,117.7,183.1,7.36,11.44,9,N/A,313.40
Cosmos_IV,45,2020-06-04,20:09:50,5,21,3,3,600,951,1007,white,D02,lost,resignation,Yes,Yes,No,No,No,won,won,28,28,289.5,269.5,10.34,9.62,8,N/A,222.30
Cosmos_IV,46,2020-06-04,20:19:34,5,21,4,4,600,943,982,black,D02,lost,resignation,No,No,No,No,No,lost,won,7,8,105.3,52.1,15.04,6.51,N/A,N/A,294.50
Cosmos_IV,47,2020-06-04,20:22:12,5,21,5,5,600,951,896,white,D00,won,resignation,Yes,Yes,No,Yes,No,lost,lost,44,43,583.4,557,13.26,12.95,7,8,52.70
Cosmos_IV,48,2020-06-05,01:41:54,6,2,6,6,600,942,936,black,C50,lost,resignation,No,No,No,Yes,No,won,lost,20,21,193.5,241.4,9.68,11.5,N/A,15,18598.60
